Period	18_29	30_49	50_64	65_plus
03/21/2005	0.07	0.06	0.04	0.03
12/08/2005	0.16	0.09	0.05	0.02
08/31/2006	0.41	0.06	0.03	0.00
12/20/2008	0.59	0.28	0.08	0.03
05/11/2008	0.60	0.21	0.07	0.02
08/10/2008	0.65	0.27	0.10	0.03
12/04/2008	0.67	0.30	0.12	0.02
09/14/2009	0.67	0.44	0.21	0.06
08/31/2008	0.68	0.27	0.09	0.02
04/19/2009	0.70	0.42	0.20	0.05
11/24/2010	0.74	0.54	0.33	0.11
01/19/2010	0.76	0.51	0.26	0.07
12/21/2010	0.76	0.55	0.36	0.12
12/27/2009	0.78	0.47	0.25	0.08
11/28/2010	0.78	0.54	0.33	0.14
05/22/2011	0.79	0.61	0.38	0.14
09/13/2010	0.80	0.52	0.31	0.09
05/30/2010	0.82	0.53	0.37	0.11
08/26/2011	0.82	0.59	0.36	0.12
02/19/2012	0.82	0.64	0.39	0.16
01/26/2014	0.84	0.77	0.52	0.27
11/06/2016	0.86	0.80	0.64	0.34
05/19/2013	0.87	0.72	0.50	0.24
07/14/2013	0.87	0.72	0.49	0.21
08/07/2012	0.88	0.68	0.48	0.22
09/30/2013	0.89	0.74	0.54	0.27
07/12/2015	0.90	0.77	0.51	0.35
