Period	Men	Women
03/21/2005	0.06	0.04
12/08/2005	0.10	0.08
08/31/2006	0.13	0.10
05/11/2008	0.21	0.22
08/10/2008	0.25	0.27
08/31/2008	0.25	0.24
12/04/2008	0.26	0.29
12/20/2008	0.25	0.26
04/19/2009	0.33	0.38
09/14/2009	0.36	0.37
12/27/2009	0.38	0.45
01/19/2010	0.39	0.46
05/30/2010	0.44	0.52
09/13/2010	0.42	0.49
11/24/2010	0.39	0.50
11/28/2010	0.42	0.50
12/21/2010	0.44	0.50
05/22/2011	0.47	0.54
08/26/2011	0.50	0.50
02/19/2012	0.50	0.56
08/07/2012	0.54	0.64
12/09/2012	0.50	0.58
05/19/2013	0.59	0.63
07/14/2013	0.57	0.62
09/30/2013	0.60	0.66
01/26/2014	0.60	0.63
07/12/2015	0.62	0.68
11/06/2016	0.66	0.72
